Name,NUMPOINTS
Pradera 1,220
Ximena,5735
Luz del Guayas,2330
Guasmo Oeste,3229
7 Lagos,1278
Las Valdivias,857
Las Tejas,959
Sopena,2049
Fragata,314
La Union,12171
Floresta,511
Guasmo Sur,10575
Guasmo Norte,6546
Tulipanes,383
Pradera 2,395
Floresta 2,281
Riveras del Guayas,77
Abel Gilbert,6888
Febres Cordero,3601
Estero Salado,657
Batallon del Suburbio,4094
Puerto Lisa,3663
Urbanizacion La Saiba,809
Ciudadela 9 de Octubre,2778
El Fortin,1008
Galavsa,2445
Programa de vivienda Municipio Club Rotario,2272
Paraiso de la Flor,937
Parroquia Pedro Carbo,3156
Parroquia Roca,1479
Parroquia Sucre,2953
Parroquia Urdaneta,4400
Parroquia Garcia Moreno,3479
Parroquia Letamendi,2940
Parroquia Nueve de Octubre,6536
Parroquia Olmedo,1898
Parroquia Ayacucho,14527
Parroquia Bolivar,1765
Guayacanes,1887
La Florida,15536
Bastion Popular,13785
Pascuales,5792
San Felipe,1894
Urdesa,6483
Mapasingue,5381
Bellavista,14959
Samanes,2748
Vergeles,660
Alborada,8458
Simon Bolivar,1313
Atarazana,2217
Urdenor,1021
Garzota,5447
Kennedy Nueva,1076
Kennedy Norte,3017
Sauces,10204
Prosperina,983
Ceibos,10391
San Eduardo,1851
Miraflores,636
Acuarela,918
Brisas del Norte,19
Limonal,23
Fae,2920
Orquideas,855
Mucho Lote,430
Huancavilca,2511
Orquideas Oeste,627
,934
Parroquia Rocafuerte,5924
Las Peñas,63
Cerro del Carmen,185
Universidad de Guayaquil,358
Juan Montalvo,6443
Ciudadela Los Alamos,882
El Condor,1796
Rosales,121
Montebello,6871
Ciudadela El Caracol,67
Colinas del Sol,818
Parque Industrial El Sauce,151
Fuerte Huancavilca,409
Urbanizacion Industrial Inmaconsa,461
Lotizacion Expogramos,450
Santa Beatriz,161
Parque Samanes,1470
Isla Trinitaria,7967
Las Americas,1044
Centenario,768
Cuba,1009
Sandino,9863
Metropolis 2,6657
Mucho Lote 2,416
Flor de Bastion,1393
Cooperativa Guerreros del Fortin,214
Monte Sinai,127
Puerto Maritimo,15172
Puerto Azul,550
Urbanizacion Via al Sol,83
Veranda,6516
Terminal Norte Metrovia,249
Puerto Hondo,10
San Jeronimo,15
Centro Comercial Via la Costa,0
Mone Sinai,282
Urbanizacion Portovita,0
Balerio Stacio,170
Socio Vivienda,3877
